role_id,role_name,grant_id,effect,action,entity_category,entity_detail,mask_expr_id,filter_expr_id
4,pystarburst,71,ALLOW,REFRESH,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,70,ALLOW,DELETE,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,69,ALLOW,INSERT,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,68,ALLOW,DROP,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,67,ALLOW,CREATE,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,66,ALLOW,ALTER,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,65,ALLOW,UPDATE,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,64,ALLOW,SHOW,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,63,ALLOW,SELECT,TABLES,"{""catalog"": ""js_financial_ice""}",,
4,pystarburst,62,ALLOW,EXECUTE,FUNCTIONS,"{""catalog"": ""system"", ""schema"": ""builtin"", ""function"": ""analyze_logical_plan""}",,
-1,public,25,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""CATALOG_EXPLORER""}",,
-1,public,24,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""EXPORT_DATA""}",,
-1,public,23,ALLOW,SET,SYSTEM_SESSION_PROPERTIES,"{""entityKey"": ""skip_results_cache""}",,
-1,public,22,ALLOW,SET,SYSTEM_SESSION_PROPERTIES,"{""entityKey"": ""results_cache_entry_max_size_bytes""}",,
-1,public,20,ALLOW,SET,TABLE_PROPERTIES,"{""allEntities"": true}",,
-1,public,19,ALLOW,SET,SCHEMA_PROPERTIES,"{""allEntities"": true}",,
-1,public,18,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""CLUSTER_HISTORY""}",,
-1,public,17,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""QUERIES""}",,
-1,public,16,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""OVERVIEW""}",,
-1,public,15,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""DATA_PRODUCTS""}",,
-1,public,14,ALLOW,SHOW,USER_INTERFACE,"{""uiFeature"": ""QUERY_EDITOR""}",,
-1,public,13,ALLOW,SELECT,TABLES,"{""catalog"": ""system"", ""schema"": ""runtime""}",,
-1,public,11,ALLOW,EXECUTE,QUERIES,"{""allEntities"": true}",,
3,jirawut_demo,77,ALLOW,PUBLISH,DATA_PRODUCTS,"{""allEntities"": true}",,
3,jirawut_demo,76,ALLOW,CREATE,DATA_PRODUCTS,"{""allEntities"": true}",,
3,jirawut_demo,75,ALLOW,DROP,DATA_PRODUCTS,"{""allEntities"": true}",,
